Designator,Mid X,Mid Y,Rotation,Layer
R1_7,83.933666,-105.763207,0.0,top
R1_6,116.500203,-105.735581,0.0,top
R1_5,116.496689,-73.017188,0.0,top
R1_4,51.266689,-73.019197,0.0,top
R1_3,83.85176,-40.277188,0.0,top
R1_2,51.266689,-40.277188,0.0,top
R1,83.892713,-73.018437,0.0,top
R10_9,70.744466,-121.509153,0.0,top
R10_8,135.907336,-56.055477,0.0,top
R10_7,103.400953,-121.53477,0.0,top
R10_6,135.96749,-121.507144,0.0,top
R10_5,135.963976,-88.788751,0.0,top
R10_4,70.733976,-88.79076,0.0,top
R10_3,103.319047,-56.048751,0.0,top
R10_2,70.733976,-56.048751,0.0,top
R10,103.36,-88.79,0.0,top
R11_9,70.744466,-118.999153,0.0,top
R11_8,135.907336,-53.545477,0.0,top
R11_7,103.400953,-119.02477,0.0,top
R11_6,135.96749,-118.997144,0.0,top
R11_5,135.963976,-86.278751,0.0,top
R11_4,70.733976,-86.28076,0.0,top
R11_3,103.319047,-53.538751,0.0,top
R11_2,70.733976,-53.538751,0.0,top
R11,103.36,-86.28,0.0,top
R12_9,70.744466,-116.489153,0.0,top
R12_8,135.907336,-51.035477,0.0,top
R12_7,103.400953,-116.51477,0.0,top
R12_6,135.96749,-116.487144,0.0,top
R12_5,135.963976,-83.768751,0.0,top
R12_4,70.733976,-83.77076,0.0,top
R12_3,103.319047,-51.028751,0.0,top
R12_2,70.733976,-51.028751,0.0,top
R12,103.36,-83.77,0.0,top
R13_9,70.744466,-113.979153,0.0,top
R13_8,135.907336,-48.525477,0.0,top
R13_7,103.400953,-114.00477,0.0,top
R13_6,135.96749,-113.977144,0.0,top
R13_5,135.963976,-81.258751,0.0,top
R13_4,70.733976,-81.26076,0.0,top
R13_3,103.319047,-48.518751,0.0,top
R13_2,70.733976,-48.518751,0.0,top
R13,103.36,-81.26,0.0,top
R14_9,70.744466,-111.469153,0.0,top
R14_8,135.907336,-46.015477,0.0,top
R14_7,103.400953,-111.49477,0.0,top
R14_6,135.96749,-111.467144,0.0,top
R14_5,135.963976,-78.748751,0.0,top
R14_4,70.733976,-78.75076,0.0,top
R14_3,103.319047,-46.008751,0.0,top
R14_2,70.733976,-46.008751,0.0,top
R14,103.36,-78.75,0.0,top
R17_9,51.724466,-111.049153,180.0,bottom
R17_8,116.887336,-45.595477,180.0,bottom
R17_7,84.380953,-111.07477,180.0,bottom
R17_6,116.94749,-111.047144,180.0,bottom
R17_5,116.943976,-78.328751,180.0,bottom
R17_4,51.713976,-78.33076,180.0,bottom
R17_3,84.299047,-45.588751,180.0,bottom
R17_2,51.713976,-45.588751,180.0,bottom
R17,84.34,-78.33,180.0,bottom
R18_9,51.724466,-113.567153,180.0,bottom
R18_8,116.887336,-48.113477,180.0,bottom
R18_7,84.380953,-113.59277,180.0,bottom
R18_6,116.94749,-113.565144,180.0,bottom
R18_5,116.943976,-80.846751,180.0,bottom
R18_4,51.713976,-80.84876,180.0,bottom
R18_3,84.299047,-48.106751,180.0,bottom
R18_2,51.713976,-48.106751,180.0,bottom
R18,84.34,-80.848,180.0,bottom
R19_9,51.724466,-116.085153,180.0,bottom
R19_8,116.887336,-50.631477,180.0,bottom
R19_7,84.380953,-116.11077,180.0,bottom
R19_6,116.94749,-116.083144,180.0,bottom
R19_5,116.943976,-83.364751,180.0,bottom
R19_4,51.713976,-83.36676,180.0,bottom
R19_3,84.299047,-50.624751,180.0,bottom
R19_2,51.713976,-50.624751,180.0,bottom
R19,84.34,-83.366,180.0,bottom
R2_9,51.714679,-111.04159,180.0,top
R2_8,116.877549,-45.587914,180.0,top
R2_7,84.371166,-111.067207,180.0,top
R2_6,116.937703,-111.039581,180.0,top
R2_5,116.934189,-78.321188,180.0,top
R2_4,51.704189,-78.323197,180.0,top
R2_3,84.28926,-45.581188,180.0,top
R2_2,51.704189,-45.581188,180.0,top
R2,84.330213,-78.322437,180.0,top
R20_9,51.724466,-118.603153,180.0,bottom
R20_8,116.887336,-53.149477,180.0,bottom
R20_7,84.380953,-118.62877,180.0,bottom
R20_6,116.94749,-118.601144,180.0,bottom
R20_5,116.943976,-85.882751,180.0,bottom
R20_4,51.713976,-85.88476,180.0,bottom
R20_3,84.299047,-53.142751,180.0,bottom
R20_2,51.713976,-53.142751,180.0,bottom
R20,84.34,-85.884,180.0,bottom
R21_9,51.724466,-121.121153,180.0,bottom
R21_8,116.887336,-55.667477,180.0,bottom
R21_7,84.380953,-121.14677,180.0,bottom
R21_6,116.94749,-121.119144,180.0,bottom
R21_5,116.943976,-88.400751,180.0,bottom
R21_4,51.713976,-88.40276,180.0,bottom
R21_3,84.299047,-55.660751,180.0,bottom
R21_2,51.713976,-55.660751,180.0,bottom
R21,84.34,-88.402,180.0,bottom
R22_9,51.724466,-123.639153,180.0,bottom
